Iter	fval		||grad||	alpha		delta
0	24.20000000	232.86768775	0.00000000
1	4.73188433	4.63942621	1.00000000	0.00000000
2	4.21333945	35.66493996	0.14428205	0.00000000
3	3.45249363	16.64730276	0.62133253	0.00000000
4	3.07303897	27.83087852	1.40952668	0.00000000
5	2.46061511	17.18267198	0.40543533	0.00000000
6	1.73377459	4.26816041	1.27370711	0.00000000
7	1.69264632	15.97075679	0.60278656	0.00000000
8	1.61288286	15.00170118	0.06095382	0.00000000
9	1.46370281	13.05039765	0.13154567	0.00000000
10	1.20931368	9.16719521	0.30860536	0.00000000
11	0.86566916	3.16261893	0.84553491	0.00000000
12	0.67110295	6.91948147	0.71563112	0.00000000
13	0.42393534	1.75130124	1.05668652	0.00000000
14	0.33807881	9.67190142	0.77726255	0.00000000
15	0.21113297	4.30154134	0.57055208	0.00000000
16	0.10346340	7.11466438	1.81750438	0.00000000
17	0.03578297	4.69537786	1.96325101	0.00000000
18	0.00373996	0.21550096	0.18903667	0.81920000
19	0.00185821	1.93244095	1.02078470	0.00000000
20	0.00000433	0.02750303	1.01743522	0.00000000
21	0.00000206	0.02257289	1.65034119	0.00000000
22	0.00000002	0.00166581	1.11442430	0.00000000
23	0.00000001	0.00099949	1.58796146	0.00000000
24	0.00000001	0.00086179	1.87189096	0.00000000
25	0.00000000	0.00058548	0.32038203	0.00000000
26	0.00000000	0.00009832	1.16569240	0.00000000
27	0.00000000	0.00000982	1.10020455	0.00000000
28	0.00000000	0.00000533	1.54290491	0.00000000
29	0.00000000	0.00000105	1.19630269	0.00000000
30	0.00000000	0.00000059	1.55949000	0.00000000
31	0.00000000	0.00000006	1.09728836	0.00000000
32	0.00000000	0.00000004	1.63520507	0.00000000
33	0.00000000	0.00000002	1.47840368	0.00000000
34	0.00000000	0.00000001	1.68464524	0.00000000
35	0.00000000	0.00000000	1.13338261	0.00000000
36	0.00000000	0.00000000	1.72526378	0.00000000
37	0.00000000	0.00000000	0.90110749	0.00000000
38	0.00000000	0.00000000	1.58213707	0.00000000
