Iter	fval		||grad||	alpha		delta
0	191961.77739107	289961.95713108	0.00000000
1	110715.61376373	165721.74071665	1.00000000	0.00000000
2	555.80060575	3125.52699591	11.21471191	0.00000000
3	50.30108369	515.72027568	3.11507127	0.00000000
4	0.21812613	8.71654516	1.63833951	0.00000000
5	0.08696817	4.37418289	1.82936788	0.00000000
6	0.00598582	0.58881054	1.52688144	0.00000000
7	0.00142922	0.20173848	1.69639145	0.00000000
8	0.00020580	0.04781009	1.59635430	0.00000000
9	0.00001924	0.00878148	1.48678992	0.00000000
10	0.00000047	0.00099354	1.21206962	0.00000000
11	0.00000003	0.00022643	1.23659387	0.00000000
12	0.00000000	0.00002178	1.09642554	0.00000000
13	0.00000000	0.00001457	1.66862084	0.00000000
14	0.00000000	0.00000345	1.23689307	0.00000000
15	0.00000000	0.00000018	1.05122805	0.00000000
16	0.00000000	0.00000009	1.48457955	0.00000000
17	0.00000000	0.00000005	1.62931463	0.00000000
18	0.00000000	0.00000003	1.52501724	0.00000000
19	0.00000000	0.00000001	1.31393984	0.00000000
20	0.00000000	0.00000000	1.14328589	0.00000000
21	0.00000000	0.00000000	1.49084991	0.00000000
22	0.00000000	0.00000000	1.57526031	0.00000000
23	0.00000000	0.00000000	1.01091901	0.00000000
