Iter	fval		||grad||	alpha		delta
0	24.20000000	232.86768775	0.00000000
1	4.73188433	4.63942621	1.00000000	0.00000000
2	4.08739866	28.55008048	0.12500000	0.00000000
3	3.22867259	11.57152086	1.00000000	0.00000000
4	3.21389809	30.32589455	1.00000000	0.00000000
5	1.94258542	3.60410225	1.00000000	0.00000000
6	1.60019369	9.24841837	0.25000000	0.00000000
7	1.17838956	4.91980068	1.00000000	0.00000000
8	0.92241158	8.66434021	1.00000000	0.00000000
9	0.59748862	1.77881429	1.00000000	0.00000000
10	0.45262510	5.87780391	0.50000000	0.00000000
11	0.28076244	2.17637074	1.00000000	0.00000000
12	0.21139340	9.40128965	1.00000000	0.00000000
13	0.08901950	0.49206257	1.00000000	0.00000000
14	0.05153540	3.92424919	0.50000000	0.00000000
15	0.01999278	1.24210770	1.00000000	0.00000000
16	0.00716924	2.53306736	1.00000000	0.00000000
17	0.00106961	0.23758181	1.00000000	0.00000000
18	0.00007777	0.34827208	1.00000000	0.00000000
19	0.00000028	0.00387419	1.00000000	0.00000000
20	0.00000000	0.00011872	1.00000000	0.00000000
21	0.00000000	0.00000000	1.00000000	0.00000000
22	0.00000000	0.00000000	1.00000000	0.00000000
