Iter	fval		||grad||	alpha		delta
0	14.20312500	12.75000000	0.00000000
1	1.14729433	5.94401521	0.25000000	13.10720000
2	0.69929045	1.86157836	0.50000000	13.10720000
3	0.69399833	1.64095092	0.50000000	6.55360000
4	0.66333409	0.71062495	1.00000000	13.10720000
5	0.65713560	0.25170865	1.00000000	13.10720000
6	0.65637793	0.09562859	1.00000000	13.10720000
7	0.65626749	0.03536271	1.00000000	13.10720000
8	0.65625244	0.01320760	1.00000000	13.10720000
9	0.65625034	0.00491458	1.00000000	13.10720000
10	0.65625005	0.00183126	1.00000000	13.10720000
11	0.65625001	0.00068201	1.00000000	13.10720000
12	0.65625000	0.00025405	1.00000000	13.10720000
13	0.65625000	0.00009462	1.00000000	13.10720000
14	0.65625000	0.00003525	1.00000000	13.10720000
15	0.65625000	0.00001313	1.00000000	13.10720000
